status,source_path,source_rel,ext,size,sha256,canonical_path,copied_to
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Downloads/21053 - WATERLINE PTS CREATION.dwg,Users/seanburdges/Downloads/21053 - WATERLINE PTS CREATION.dwg,.dwg,16282771,98b4bafb7ac75a6b2288429b1aa33537e6c36796764d0e525b334f368a9e06d3,/System/Volumes/Data/Users/seanburdges/Downloads/21053 - WATERLINE PTS CREATION.dwg,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Downloads/21053 - WATERLINE PTS CREATION.dwg
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Downloads/Poncha Meadows2.dwg,Users/seanburdges/Downloads/Poncha Meadows2.dwg,.dwg,473835,386847c8898ab038953d4c71a9de6f0852f1abf0082983ab075fd3f23a4a5e6c,/System/Volumes/Data/Users/seanburdges/Downloads/Poncha Meadows2.dwg,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Downloads/Poncha Meadows2.dwg
unique_or_canonical,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/OpenSCAD/OpenSCADTest/data/Square.dxf,Applications/FreeCAD.app/Contents/Resources/Mod/OpenSCAD/OpenSCADTest/data/Square.dxf,.dxf,4726,1d64c18cb383bdfd92cfd0528a66b0596e6e546a97a24ef6887a5d11eda9cd6a,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/OpenSCAD/OpenSCADTest/data/Square.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Applications/FreeCAD.app/Contents/Resources/Mod/OpenSCAD/OpenSCADTest/data/Square.dxf
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/IIII.dxf,Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/IIII.dxf,.dxf,1490524,54d1f25094d9d4d47c1d6dabf119424646cf77ecd98e090bea5a0f9f7d1f8293,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/IIII.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/IIII.dxf
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur ASCII.dxf,Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur ASCII.dxf,.dxf,7130569,f616d61e6553e1e6806eccec9dd4af8ff1a2830da2f704c74a6a95f826939e0c,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur ASCII.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur ASCII.dxf
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur.dxf,Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur.dxf,.dxf,4014748,d0de44b3c7aa48bb569d096e84ead463e95e7714cf463930197dc752d9fc01aa,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/.local-datasets/TOTaLi/XR23173-Sur.dxf
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/samples/input/sample_ascii.dxf,Users/seanburdges/Dev/survey-automation-roadmap/samples/input/sample_ascii.dxf,.dxf,205,77cb1b3ec68cbd0e08ab017b8725970d2aee47d25bf6fb8da9a47884e67c9ac8,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/samples/input/sample_ascii.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/samples/input/sample_ascii.dxf
unique_or_canonical,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/validation/golden/project_known_bad_binary_dxf/input/binary.dxf,Users/seanburdges/Dev/survey-automation-roadmap/validation/golden/project_known_bad_binary_dxf/input/binary.dxf,.dxf,21,4fcbefaeff4d9c6f3270cb4d8be924e5a5debc1854ca17136d150e9e54b6cd6b,/System/Volumes/Data/Users/seanburdges/Dev/survey-automation-roadmap/validation/golden/project_known_bad_binary_dxf/input/binary.dxf,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Users/seanburdges/Dev/survey-automation-roadmap/validation/golden/project_known_bad_binary_dxf/input/binary.dxf
unique_or_canonical,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/bad_macro_metadata.FCStd,Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/bad_macro_metadata.FCStd,.fcstd,2171,b32baf8869e2032a88a2a325b4fb60c51e43dd8ec1e1c888bc08509da2bdac6e,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/bad_macro_metadata.FCStd,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/bad_macro_metadata.FCStd
unique_or_canonical,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/good_macro_metadata.FCStd,Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/good_macro_metadata.FCStd,.fcstd,2058,6f60ecca8413eb287bf4735fd3be681a3ed4a521faa803bf61cec4c524cac47f,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/good_macro_metadata.FCStd,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/good_macro_metadata.FCStd
unique_or_canonical,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/macro_template.FCStd,Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/macro_template.FCStd,.fcstd,2039,46593468f2f01cb2867e6eb0e3635b009c6470a6c345cdb9c3bc2bece55439ba,/System/Volumes/Data/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/macro_template.FCStd,/System/Volumes/Data/Users/seanburdges/AUTOMATICCAD/files/Applications/FreeCAD.app/Contents/Resources/Mod/AddonManager/AddonManagerTest/data/macro_template.FCStd
